Geography,IsActiveMember,HasCrCard,Balance,CreditScore,Exited
France,1,0,97259.25,646,0
Germany,0,0,123246.7,631,0
Spain,1,0,101060.25,717,0
France,0,1,0.0,684,0
France,0,0,108007.36,800,0
Spain,1,1,0.0,721,0
Spain,0,1,133702.89,683,1
Germany,1,1,125189.75,660,0
Germany,0,1,113034.22,704,1
Spain,0,1,109013.23,615,0
Spain,0,1,0.0,667,1
Germany,0,0,57929.81,682,0
France,0,1,130114.39,484,0
Germany,0,1,95826.49,628,0
Germany,0,1,129608.57,480,1
France,0,1,169462.09,578,0
France,1,1,0.0,512,0
Spain,1,1,133868.21,484,0
France,1,1,0.0,510,0
Germany,0,0,190479.48,606,0
Spain,1,0,101993.12,597,0
Germany,0,1,161608.81,754,1
Spain,1,1,122311.21,850,0
France,1,1,0.0,510,0
Germany,0,1,162150.42,778,0
France,1,1,0.0,636,0
France,1,1,0.0,804,1
France,0,1,0.0,514,0
France,0,1,99010.67,730,0
Spain,1,0,0.0,525,0
Spain,1,0,0.0,616,0
Germany,0,1,111388.18,687,0
France,0,0,56214.85,715,1
France,0,1,84327.77,512,0
France,0,0,0.0,479,0
France,0,1,93012.89,601,0
Spain,0,1,61710.44,580,0
France,1,1,174790.15,807,0
Spain,1,1,0.0,616,0
Germany,1,1,107720.64,721,0
France,1,1,0.0,501,0
France,0,1,96423.84,521,0
Spain,1,1,141040.01,850,0
France,1,0,105420.18,759,0
Spain,1,0,0.0,516,1
France,1,1,129022.06,711,1
Spain,0,1,176666.62,512,0
France,1,1,0.0,550,0
Spain,0,0,89763.84,608,1
France,1,1,134954.53,618,0
France,0,1,0.0,643,1
France,1,0,106376.85,671,0
Germany,0,1,161814.64,689,0
France,1,1,0.0,603,0
France,0,0,0.0,620,0
France,1,1,63095.01,676,0
Germany,0,0,118287.01,572,0
Germany,1,0,106854.21,668,1
France,0,1,49512.55,695,0
Spain,0,0,0.0,730,0
France,0,1,105799.32,807,1
France,1,1,0.0,592,1
France,1,1,114722.05,726,0
Spain,1,0,0.0,514,0
France,1,1,0.0,567,0
France,0,1,0.0,850,1
Germany,1,1,99564.22,671,1
France,0,1,170557.91,670,0
France,1,1,0.0,694,0
Germany,1,1,74596.15,547,1
Germany,0,1,96888.39,751,1
Germany,0,1,130830.22,594,0
France,1,0,0.0,673,0
France,0,1,0.0,610,0
France,1,0,0.0,512,0
Germany,1,0,119714.25,767,0
France,1,0,113978.97,585,0
Germany,0,1,100160.75,763,1
France,1,1,0.0,712,0
Germany,0,1,116220.5,539,1
France,0,1,0.0,668,1
France,1,0,81173.83,703,0
Spain,0,1,0.0,662,0
Germany,0,1,116803.8,725,0
France,1,0,105961.68,703,0
Germany,1,1,117411.6,659,1
Spain,0,1,0.0,523,0
France,0,1,123497.58,635,1
Germany,0,1,152400.51,772,0
France,1,1,0.0,545,0
Germany,1,1,103097.85,634,0
Germany,0,1,126418.14,739,1
Germany,0,0,77846.9,771,0
Spain,1,1,0.0,587,0
France,1,0,0.0,681,0
Germany,1,1,79731.91,544,0
Spain,0,0,0.0,696,0
Spain,1,0,0.0,766,0
France,1,1,0.0,727,0
Germany,0,0,37266.67,671,0
France,1,1,127992.25,693,0
Germany,1,1,54901.01,850,0
Germany,1,1,108748.08,732,0
Spain,0,1,99906.19,726,0
France,0,1,184686.41,557,0
France,1,0,110654.02,682,0
Spain,1,1,79019.8,738,0
Spain,0,1,99240.51,531,0
France,1,1,0.0,498,0
France,0,1,0.0,651,0
Spain,0,0,0.0,549,1
Germany,0,1,52436.2,791,0
Spain,1,0,0.0,650,0
Germany,0,1,100337.96,733,1
Germany,1,1,149297.19,811,0
France,0,1,0.0,707,0
Germany,1,0,145605.44,712,0
Spain,1,1,0.0,706,0
France,1,1,0.0,756,1
France,0,1,0.0,777,0
France,1,0,84026.86,646,0
France,0,1,0.0,714,1
France,1,1,0.0,782,0
Spain,1,1,0.0,775,0
Germany,1,1,138718.92,479,1
France,1,1,118274.71,807,0
France,1,0,174185.98,799,0
France,0,1,113208.86,675,0
Spain,0,1,103907.28,602,0
France,0,1,119023.28,475,0
Spain,1,1,166297.89,744,0
Spain,0,1,0.0,588,0
Germany,1,0,63227.0,703,0
Spain,0,1,94521.17,747,0
France,0,1,0.0,583,0
Spain,0,0,112822.26,750,1
France,1,1,0.0,681,0
France,0,1,135903.33,773,0
France,1,1,125169.26,714,0
Spain,0,1,0.0,687,1
France,1,1,149117.31,511,0
France,1,1,0.0,627,0
France,0,1,0.0,694,0
Spain,0,0,132311.71,616,0
France,0,1,0.0,687,0
France,1,1,0.0,712,0
France,0,0,118082.89,553,0
France,1,1,119266.69,667,0
France,1,1,0.0,731,1
Germany,0,1,156847.29,629,0
France,0,1,137104.47,614,1
Germany,0,1,78398.69,438,0
France,1,1,0.0,652,0
Germany,0,1,63669.42,729,0
France,0,0,0.0,642,0
Germany,0,1,135296.33,806,0
Spain,1,1,153804.44,744,0
Spain,0,0,0.0,474,0
France,0,1,147069.78,559,1
Spain,1,1,0.0,706,0
Spain,0,1,0.0,628,0
France,0,1,95741.75,429,0
Spain,1,1,145965.33,525,0
France,1,1,141441.75,680,0
France,0,1,139290.41,749,1
France,0,0,0.0,763,0
France,0,1,0.0,734,0
France,0,1,144428.87,716,0
France,0,1,0.0,594,0
France,0,1,95441.27,644,1
Germany,1,1,144848.74,671,0
Germany,1,1,116244.14,664,0
France,1,0,0.0,656,0
Spain,0,1,146502.07,667,0
Germany,1,0,117028.6,663,0
Germany,0,1,112013.81,584,1
Spain,0,1,108269.37,626,0
France,0,1,182123.79,485,1
Germany,1,0,150923.74,659,0
France,0,1,0.0,649,0
Spain,0,1,165272.13,805,1
Germany,0,1,115301.31,716,1
Germany,1,0,129502.49,642,1
France,0,0,118342.26,659,0
Spain,1,1,0.0,545,0
France,0,0,0.0,543,0
France,0,1,0.0,718,0
France,0,1,0.0,840,0
Germany,0,1,106937.05,630,0
Germany,1,1,170331.37,643,0
Germany,1,1,114510.85,654,0
France,1,1,0.0,582,0
Spain,1,1,107594.11,659,0
Spain,1,1,81273.13,762,0
Spain,0,1,169399.6,568,0
Spain,1,1,0.0,670,0
France,1,1,187841.99,613,0
France,0,1,0.0,539,0
Spain,1,1,126776.3,850,0
Spain,0,1,126436.29,522,1
France,1,1,101960.74,737,0
France,1,0,0.0,520,0
Spain,1,0,0.0,706,0
Germany,1,0,150842.93,643,1
France,1,1,102535.57,648,0
Germany,0,1,99027.61,443,0
France,1,1,0.0,640,0
Spain,1,1,0.0,628,0
Germany,0,1,87271.41,540,0
Germany,1,1,102742.91,460,0
Germany,1,0,40105.51,636,0
France,0,1,152265.43,593,0
Spain,1,1,141947.67,801,0
Germany,1,0,106307.91,640,0
Germany,1,1,107884.81,611,0
Germany,1,1,125013.72,802,0
Germany,1,1,58469.37,717,0
France,1,0,0.0,769,0
Germany,1,1,117231.63,745,1
Spain,0,1,152390.26,572,0
Spain,0,1,34013.63,629,0
Spain,0,0,0.0,687,1
France,1,1,0.0,483,0
France,0,1,101583.11,690,0
Germany,1,0,77168.87,492,0
Germany,0,1,124695.72,709,0
Germany,0,1,105934.96,705,0
France,1,1,0.0,560,0
Spain,0,1,0.0,611,0
Spain,1,1,0.0,730,0
Spain,1,0,0.0,709,0
France,0,1,161525.96,544,0
Germany,1,1,147199.07,712,0
Germany,1,1,183102.29,752,0
Spain,0,1,127209.0,648,1
Spain,0,0,0.0,556,1
Spain,1,1,97378.54,594,0
Germany,1,0,136925.09,645,0
France,1,1,54503.55,557,0
Germany,0,1,155726.85,547,0
France,1,0,0.0,701,0
France,0,1,135842.41,616,1
France,0,1,63349.75,605,0
Germany,1,1,129499.42,593,0
Spain,1,0,0.0,751,0
Spain,1,0,70438.01,443,0
France,1,1,0.0,685,0
France,0,1,0.0,718,0
Spain,0,0,141434.04,538,1
Spain,0,1,0.0,611,0
Germany,1,1,152958.29,668,0
Germany,0,1,138306.34,537,0
Spain,0,0,0.0,709,0
France,1,1,0.0,850,0
Spain,1,1,124328.84,745,0
Germany,1,1,181461.48,693,1
Spain,0,1,0.0,795,0
Spain,0,0,0.0,626,0
Germany,0,0,110368.03,487,1
France,1,1,89588.35,556,0
France,0,0,0.0,643,0
France,0,0,0.0,605,0
Germany,0,1,115924.89,756,1
France,0,1,0.0,586,0
Germany,0,1,111756.5,535,1
France,0,1,0.0,678,0
France,0,1,0.0,596,0
France,0,1,162923.85,648,0
Germany,0,1,124576.65,492,0
France,1,1,80793.58,702,0
Germany,0,1,71340.09,486,0
Germany,0,0,99282.63,568,1
Germany,1,1,137946.39,619,1
Germany,1,0,127892.57,724,0
Germany,0,1,101084.36,548,0
Germany,0,1,114754.08,545,1
France,0,0,0.0,683,0
France,1,0,99286.98,762,0
Germany,0,1,79871.02,627,0
France,0,0,104088.59,516,0
France,0,1,168190.33,800,0
Germany,1,1,85679.25,464,0
France,0,0,0.0,626,0
France,0,1,0.0,790,0
France,1,1,121551.58,534,0
France,1,1,122220.19,745,0
Spain,0,0,116528.15,553,1
France,1,0,77780.29,748,0
France,0,0,0.0,722,0
France,1,1,125832.2,501,0
France,0,0,68065.8,675,1
Spain,0,1,127299.34,778,0
Germany,0,1,174937.64,494,0
France,1,0,0.0,850,0
Spain,0,0,110071.1,592,0
Spain,0,1,139432.37,590,0
France,1,0,127357.76,758,0
France,0,1,0.0,506,0
France,1,1,0.0,733,0
France,0,1,0.0,711,0
Germany,1,0,95556.31,514,1
Spain,1,1,0.0,637,0
Germany,1,1,111681.98,468,0
France,0,1,0.0,539,0
Spain,0,1,108738.71,509,0
France,1,1,133950.37,662,1
Spain,1,1,0.0,818,0
France,0,1,89968.69,608,0
Spain,1,1,0.0,850,0
Germany,0,1,130878.75,816,1
France,0,1,0.0,536,0
France,1,1,0.0,753,0
Spain,1,1,134169.62,631,0
France,0,1,149762.08,703,1
France,0,1,93844.69,774,0
France,0,1,0.0,785,0
France,0,1,0.0,571,0
Germany,0,0,141078.37,621,1
Germany,1,1,117992.59,605,0
France,0,1,100812.33,611,0
France,1,1,0.0,569,0
France,1,1,80262.6,658,0
Spain,1,0,156478.62,788,0
France,0,1,0.0,525,0
France,0,0,0.0,798,0
Germany,0,1,115217.99,486,0
Spain,0,1,0.0,615,1
France,1,1,155470.55,730,0
France,0,1,0.0,641,0
France,1,1,135096.77,542,1
France,1,0,0.0,692,0
Germany,1,1,180075.22,714,0
Spain,1,1,97541.24,591,0
France,1,1,156067.05,710,0
France,1,0,81550.94,639,0
France,0,0,0.0,531,1
France,0,0,170061.92,673,1
Germany,1,1,92310.54,765,0
France,0,1,169089.38,622,0
France,1,1,80613.93,806,0
Germany,1,1,121581.56,757,0
France,1,0,0.0,570,1
Spain,1,1,0.0,555,0
France,1,1,0.0,692,0
France,0,1,85891.55,774,1
Spain,1,1,77637.35,638,0
Spain,0,0,0.0,543,0
France,0,1,0.0,584,0
Germany,0,1,116927.89,691,0
Germany,0,1,137326.65,684,0
France,1,1,0.0,733,0
Spain,1,1,0.0,599,0
Germany,1,1,67238.98,524,0
Germany,0,1,86569.76,632,0
Spain,0,0,0.0,735,0
France,1,1,133598.4,734,0
France,1,1,136188.78,605,1
Spain,0,1,0.0,793,0
France,1,0,0.0,468,1
Germany,0,1,120092.52,779,0
France,1,0,101238.24,698,1
France,1,0,89685.92,707,0
France,0,1,211774.31,850,1
France,1,1,131317.48,850,0
Spain,1,1,93722.73,527,0
Germany,1,1,101160.99,696,0
France,0,0,120320.54,661,0
France,1,1,0.0,776,0
France,1,1,0.0,701,0
France,0,1,0.0,610,0
Germany,0,1,152827.99,572,1
France,1,1,64097.75,673,0
Spain,1,1,119035.35,519,0
Spain,1,0,135219.57,702,0
France,1,1,93694.42,729,0
Spain,0,1,59408.63,543,0
France,0,1,114354.95,550,0
France,0,1,0.0,608,1
Germany,0,1,128173.9,639,0
Spain,0,1,0.0,686,0
Germany,1,0,114931.35,564,1
Germany,0,1,111071.36,745,1
France,1,1,151226.18,833,0
France,1,1,0.0,622,0
France,1,1,64740.12,597,0
Spain,0,1,169312.13,721,1
France,1,0,0.0,504,1
Spain,0,1,112652.08,842,0
France,0,1,0.0,587,0
Germany,0,1,143964.36,479,0
France,1,1,122451.46,508,0
France,1,1,0.0,749,0
Germany,0,1,65253.07,721,0
Germany,1,1,106901.94,674,1
Spain,0,1,128509.63,685,0
France,0,1,0.0,417,0
Germany,0,1,129834.67,574,0
Spain,1,0,154962.99,590,1
Germany,0,1,138241.9,587,0
Germany,0,1,91536.93,598,1
Spain,1,1,0.0,741,0
Spain,1,1,0.0,850,0
Germany,1,0,105204.01,584,0
Spain,1,0,152968.73,650,0
Spain,1,1,158261.68,607,0
France,0,1,0.0,509,1
Spain,1,1,121021.05,689,0
France,1,1,0.0,543,0
Spain,0,0,0.0,438,1
Spain,1,1,137715.66,687,0
Germany,1,1,121192.22,737,0
France,1,1,0.0,761,0
France,1,1,100486.18,601,0
France,0,1,0.0,651,1
France,0,1,92566.53,745,0
Spain,1,1,0.0,648,1
Spain,1,1,110929.96,848,0
France,1,1,0.0,546,0
Spain,0,1,138901.61,439,0
France,1,0,123217.66,755,0
France,0,1,0.0,593,0
France,1,1,0.0,701,0
Spain,0,1,0.0,701,0
Spain,1,0,108431.87,607,1
Spain,1,0,0.0,586,0
Germany,0,1,72392.41,547,0
Germany,0,0,119741.77,647,1
France,0,0,100946.71,760,1
Spain,0,1,170491.84,621,1
France,1,1,0.0,725,0
France,0,1,0.0,526,0
Spain,0,0,157296.02,519,1
Germany,1,1,144606.22,713,1
France,0,1,134811.3,700,0
France,1,1,115897.12,666,0
Spain,0,0,82034.0,630,0
Spain,1,0,174318.13,779,0
Germany,0,1,114206.84,611,0
Spain,0,1,0.0,685,0
Germany,1,1,111574.41,646,0
Germany,0,0,162448.69,683,1
Germany,1,0,148249.54,484,0
France,1,0,0.0,601,1
Spain,1,1,123709.46,762,0
France,1,0,0.0,687,0
France,0,1,0.0,566,1
France,1,1,150525.8,702,0
France,1,1,0.0,601,0
France,1,0,0.0,699,0
France,0,1,0.0,584,0
France,1,1,0.0,699,0
Germany,0,1,111018.98,698,0
France,0,0,129755.99,495,0
France,0,1,0.0,650,0
France,1,1,129555.7,605,0
Spain,1,1,87202.38,667,0
Germany,1,1,146133.39,688,0
Spain,0,1,0.0,727,1
Spain,0,1,170184.99,754,0
Germany,0,1,140745.33,612,1
Spain,1,1,139070.51,546,0
Spain,1,1,0.0,673,0
France,0,1,114193.24,593,0
Spain,1,0,167878.5,656,0
Germany,1,1,141616.55,535,0
Germany,1,0,145747.67,678,0
Spain,1,0,129120.64,477,0
Spain,0,0,110349.82,850,0
France,1,1,141325.56,427,0
France,0,1,78653.84,752,0
France,1,1,0.0,649,0
Spain,0,1,142253.65,799,0
France,0,1,0.0,589,1
Germany,0,1,115988.86,583,1
Spain,0,1,75592.43,839,0
Germany,1,1,164113.04,540,0
France,0,0,67996.23,850,1
Spain,0,1,0.0,696,0
Spain,0,0,0.0,660,0
France,1,0,138778.15,682,0
France,1,0,147832.15,744,0
France,0,0,135438.4,785,0
Spain,0,1,116060.08,752,1
France,0,1,112564.62,706,0
France,1,1,125406.58,583,0
Germany,0,1,135134.99,660,1
France,0,1,133102.92,819,1
France,0,1,42157.08,673,1
France,1,1,0.0,752,0
France,0,1,82259.29,578,0
France,0,1,0.0,438,0
France,1,1,0.0,652,0
France,1,1,0.0,629,0
France,1,1,0.0,720,0
France,0,1,150461.07,668,0
Germany,1,1,133994.52,459,1
Spain,1,1,164870.81,729,0
Germany,1,1,121702.73,498,0
Spain,1,0,193858.2,549,0
Germany,1,1,131039.97,601,0
France,1,1,113829.45,544,0
France,0,1,0.0,751,0
Germany,1,1,81877.38,632,0
Spain,1,1,116326.07,694,0
France,1,1,0.0,678,0
France,1,1,0.0,695,0
France,1,0,0.0,661,0
France,1,1,0.0,661,0
France,1,0,127070.73,559,0
France,1,1,0.0,503,0
Spain,1,1,122549.64,695,0
France,1,1,176099.13,640,0
Germany,0,0,122388.38,624,0
France,1,0,0.0,667,0
France,0,0,0.0,642,0
Spain,1,1,118879.35,640,0
Spain,1,1,0.0,529,0
France,1,1,0.0,563,0
Spain,0,1,88736.44,593,0
Germany,1,0,102703.62,739,1
Spain,1,1,0.0,788,0
Spain,0,1,0.0,684,0
France,1,0,97318.25,482,0
Spain,1,0,128468.69,591,0
Germany,1,0,133432.59,651,0
Germany,0,0,141782.57,749,0
France,0,0,135125.28,583,0
Spain,0,0,178820.91,661,1
France,1,1,112212.14,715,0
Germany,0,1,126674.81,769,1
France,0,1,136294.97,625,1
France,0,1,66392.64,641,0
Germany,0,1,122552.34,716,0
France,0,1,76408.85,767,0
Germany,0,0,145071.24,745,0
France,1,1,0.0,589,0
France,1,1,109730.22,796,0
France,1,1,0.0,664,0
Spain,1,1,64119.38,445,1
Germany,1,1,106138.33,543,1
Spain,1,1,0.0,746,0
Germany,1,1,181656.51,742,0
France,0,1,0.0,750,0
France,0,0,95128.86,669,0
Spain,1,0,126615.94,594,0
Spain,1,0,0.0,574,0
Germany,1,1,76190.48,659,0
Germany,0,1,168286.81,750,1
Germany,1,1,88109.81,626,0
France,0,1,0.0,620,0
France,1,0,0.0,580,0
France,0,1,123971.51,686,0
France,0,0,148116.48,540,0
Germany,0,1,116269.01,634,0
Spain,0,1,120599.21,632,0
France,0,1,144260.5,501,0
Spain,0,1,86605.5,650,1
France,0,1,0.0,786,0
Germany,0,0,58629.97,554,0
Spain,0,0,0.0,701,0
France,0,0,0.0,474,0
France,1,1,0.0,621,0
Spain,1,1,209767.31,672,1
Spain,1,1,129634.25,459,1
France,0,0,0.0,669,0
France,0,1,169824.46,776,0
France,1,1,97530.25,694,0
France,1,1,145988.65,787,0
France,1,0,0.0,580,0
France,1,1,0.0,711,0
France,0,1,137494.28,673,0
France,0,0,0.0,499,1
France,1,1,147360.0,591,0
France,0,0,0.0,769,0
Spain,0,0,125167.02,657,0
Germany,0,1,121152.05,738,1
Germany,1,0,128981.07,545,1
France,1,1,0.0,497,0
Spain,1,1,151858.98,816,0
France,1,0,114628.4,525,0
France,0,1,0.0,725,0
France,0,1,95059.02,692,0
France,1,0,128736.39,618,0
France,1,1,156325.38,546,0
France,1,1,105405.97,635,0
France,0,0,88915.37,611,1
France,1,1,0.0,650,0
France,1,1,0.0,606,0
France,0,0,160980.03,844,0
Spain,0,1,177619.71,450,0
Spain,1,1,62276.99,727,0
Germany,1,1,127559.97,460,0
France,1,0,0.0,649,0
Germany,0,1,95523.16,758,0
France,1,1,107749.03,490,0
Germany,0,1,110777.26,815,0
Spain,0,1,166733.92,838,0
France,0,1,157120.86,803,0
Germany,0,1,127160.78,664,0
Spain,1,1,0.0,736,0
France,0,1,156091.97,633,0
France,1,1,98668.18,664,0
France,0,1,134022.06,600,0
France,0,1,124151.09,693,1
Germany,0,0,77253.5,663,1
Germany,0,1,114292.48,742,0
Germany,1,1,140080.32,710,1
Spain,0,1,135277.96,710,0
France,1,0,0.0,700,0
Germany,0,0,115920.62,720,1
Spain,0,0,119782.72,684,0
France,1,0,114715.71,531,1
Germany,0,0,129748.54,742,1
France,0,0,129722.57,717,0
France,1,0,0.0,589,0
France,0,0,139180.2,767,0
Germany,0,1,113599.74,636,1
France,1,1,134944.0,648,0
Germany,0,1,116922.25,622,1
Spain,0,0,118945.09,692,1
France,1,1,0.0,754,0
Spain,0,0,119182.73,679,0
France,0,1,0.0,639,0
France,1,0,71264.02,774,0
France,1,0,0.0,517,0
France,0,0,0.0,571,0
Germany,1,1,116313.57,747,1
Spain,1,0,92140.15,792,0
France,1,1,0.0,688,0
Germany,1,0,177640.09,714,0
Spain,0,1,0.0,562,0
Spain,1,1,167997.6,704,0
France,1,1,82275.35,698,0
France,1,1,0.0,611,0
Germany,0,1,111962.99,850,0
Germany,1,1,131736.88,743,0
France,0,1,0.0,654,0
Germany,0,0,108239.11,761,0
France,1,0,98444.19,702,0
Germany,0,1,114540.38,488,0
France,1,1,187530.66,683,0
Germany,1,0,133636.16,601,0
France,1,1,0.0,605,0
Germany,1,0,84745.03,671,0
Germany,1,1,120599.38,614,0
Spain,1,0,0.0,511,0
France,1,0,127771.35,850,0
Spain,0,0,0.0,790,1
France,0,0,0.0,793,0
France,1,1,0.0,628,0
Germany,1,1,167772.96,598,0
France,0,1,95845.6,657,0
France,0,1,0.0,618,0
Spain,1,0,134714.7,681,0
Spain,1,1,0.0,516,0
Germany,1,1,122384.22,421,1
France,0,0,0.0,700,0
France,0,1,157993.15,745,0
France,0,1,0.0,696,0
Germany,0,0,123331.36,580,1
Spain,1,1,75263.16,497,0
France,0,1,137824.03,720,0
Germany,0,1,132578.92,659,0
France,0,0,156021.31,841,0
Spain,0,1,0.0,642,0
Spain,1,0,137453.43,732,1
Spain,0,1,0.0,600,0
Germany,1,1,164284.72,464,0
France,1,1,0.0,680,0
Spain,1,1,0.0,758,0
Germany,1,1,112373.49,630,0
France,0,1,0.0,577,0
France,1,1,0.0,684,0
Spain,1,0,0.0,708,0
Germany,1,1,154333.82,732,0
Germany,1,1,111432.77,634,0
France,0,0,0.0,633,0
France,0,1,137390.11,559,0
Spain,1,1,0.0,694,0
Germany,1,1,111642.08,686,0
Spain,1,0,0.0,553,1
France,0,0,83543.37,507,0
Germany,0,0,145338.76,732,1
France,0,0,186796.37,818,0
Germany,1,0,58641.43,660,0
Spain,0,1,0.0,773,1
France,0,1,137148.68,640,0
France,0,0,80001.23,505,0
Germany,0,0,86402.52,714,0
France,0,1,0.0,468,0
Spain,1,1,122874.74,611,0
France,1,0,97544.29,705,0
Germany,0,1,170826.55,646,0
Germany,0,0,97133.92,667,1
Germany,1,1,153895.65,511,0
France,1,1,0.0,653,0
France,1,0,0.0,675,0
Spain,0,1,0.0,523,0
Germany,0,1,134956.02,567,1
Spain,1,0,143637.58,741,0
Spain,1,1,147506.25,456,0
France,0,1,0.0,598,1
France,0,1,190227.46,667,1
France,0,1,172448.77,548,1
France,1,1,113980.21,725,0
France,1,0,0.0,717,0
France,0,0,0.0,594,0
Germany,1,0,76968.12,678,0
France,1,1,88293.13,545,0
France,0,1,170833.46,636,1
Germany,0,1,108122.39,603,1
France,1,1,0.0,435,0
France,1,1,0.0,535,0
Germany,0,1,129818.39,629,1
France,1,1,163943.89,722,0
France,0,1,0.0,561,0
France,1,0,101430.3,645,0
France,0,0,117301.66,501,0
Germany,1,0,173340.83,502,0
Spain,1,1,0.0,652,0
France,0,1,134348.57,574,0
France,1,1,105525.65,518,0
France,0,1,0.0,749,1
France,0,1,0.0,679,1
France,0,1,106192.1,565,0
France,0,1,45144.43,643,1
France,1,1,92113.61,515,0
France,1,1,0.0,521,0
Spain,0,1,128366.44,739,0
France,1,1,0.0,585,0
